"Year" "Country" "Freq"
"321" "2007" "Benin" 1
"322" "2008" "Benin" 0
"323" "2009" "Benin" 0
"324" "2010" "Benin" 0
"325" "1992" "Bhutan" 0
"326" "1994" "Bhutan" 0
"327" "1995" "Bhutan" 0
"328" "1996" "Bhutan" 0
"329" "1997" "Bhutan" 0
"330" "1998" "Bhutan" 0
"331" "1999" "Bhutan" 0
"332" "2000" "Bhutan" 0
"333" "2001" "Bhutan" 0
"334" "2002" "Bhutan" 0
"335" "2003" "Bhutan" 0
"336" "2004" "Bhutan" 0
"337" "2005" "Bhutan" 0
"338" "2006" "Bhutan" 1
"339" "2007" "Bhutan" 0
"340" "2008" "Bhutan" 3
"341" "2009" "Bhutan" 0
"342" "2010" "Bhutan" 0
"343" "1992" "Bolivia" 38
"344" "1994" "Bolivia" 8
"345" "1995" "Bolivia" 2
"346" "1996" "Bolivia" 1
"347" "1997" "Bolivia" 4
"348" "1998" "Bolivia" 0
"349" "1999" "Bolivia" 0
"350" "2000" "Bolivia" 0
"351" "2001" "Bolivia" 0
"352" "2002" "Bolivia" 0
"353" "2003" "Bolivia" 1
"354" "2004" "Bolivia" 0
"355" "2005" "Bolivia" 1
"356" "2006" "Bolivia" 0
"357" "2007" "Bolivia" 3
"358" "2008" "Bolivia" 0
"359" "2009" "Bolivia" 3
"360" "2010" "Bolivia" 0
"361" "1992" "Bosnia-Herzegovina" 22
"362" "1994" "Bosnia-Herzegovina" 9
"363" "1995" "Bosnia-Herzegovina" 6
"364" "1996" "Bosnia-Herzegovina" 33
"365" "1997" "Bosnia-Herzegovina" 42
"366" "1998" "Bosnia-Herzegovina" 9
"367" "1999" "Bosnia-Herzegovina" 5
"368" "2000" "Bosnia-Herzegovina" 6
"369" "2001" "Bosnia-Herzegovina" 2
"370" "2002" "Bosnia-Herzegovina" 3
"371" "2003" "Bosnia-Herzegovina" 1
"372" "2004" "Bosnia-Herzegovina" 0
"373" "2005" "Bosnia-Herzegovina" 1
"374" "2006" "Bosnia-Herzegovina" 1
"375" "2007" "Bosnia-Herzegovina" 2
"376" "2008" "Bosnia-Herzegovina" 4
"377" "2009" "Bosnia-Herzegovina" 1
"378" "2010" "Bosnia-Herzegovina" 1
"379" "1992" "Botswana" 0
"380" "1994" "Botswana" 0
"381" "1995" "Botswana" 1
"382" "1996" "Botswana" 0
"383" "1997" "Botswana" 0
"384" "1998" "Botswana" 0
"385" "1999" "Botswana" 0
"386" "2000" "Botswana" 0
"387" "2001" "Botswana" 0
"388" "2002" "Botswana" 0
"389" "2003" "Botswana" 0
"390" "2004" "Botswana" 0
"391" "2005" "Botswana" 0
"392" "2006" "Botswana" 0
"393" "2007" "Botswana" 0
"394" "2008" "Botswana" 0
"395" "2009" "Botswana" 0
"396" "2010" "Botswana" 0
"397" "1992" "Brazil" 24
"398" "1994" "Brazil" 19
"399" "1995" "Brazil" 23
"400" "1996" "Brazil" 18
"401" "1997" "Brazil" 39
"402" "1998" "Brazil" 2
"403" "1999" "Brazil" 1
"404" "2000" "Brazil" 2
"405" "2001" "Brazil" 3
"406" "2002" "Brazil" 1
"407" "2003" "Brazil" 1
"408" "2004" "Brazil" 0
"409" "2005" "Brazil" 0
"410" "2006" "Brazil" 3
"411" "2007" "Brazil" 0
"412" "2008" "Brazil" 0
"413" "2009" "Brazil" 0
"414" "2010" "Brazil" 0
"415" "1992" "Brunei" 1
"416" "1994" "Brunei" 0
"417" "1995" "Brunei" 0
"418" "1996" "Brunei" 0
"419" "1997" "Brunei" 0
"420" "1998" "Brunei" 0
"421" "1999" "Brunei" 0
"422" "2000" "Brunei" 0
"423" "2001" "Brunei" 0
"424" "2002" "Brunei" 0
"425" "2003" "Brunei" 0
"426" "2004" "Brunei" 0
"427" "2005" "Brunei" 0
"428" "2006" "Brunei" 0
"429" "2007" "Brunei" 0
"430" "2008" "Brunei" 0
"431" "2009" "Brunei" 0
"432" "2010" "Brunei" 0
"433" "1992" "Bulgaria" 2
"434" "1994" "Bulgaria" 2
"435" "1995" "Bulgaria" 2
"436" "1996" "Bulgaria" 12
"437" "1997" "Bulgaria" 3
"438" "1998" "Bulgaria" 2
"439" "1999" "Bulgaria" 1
"440" "2000" "Bulgaria" 2
"441" "2001" "Bulgaria" 1
"442" "2002" "Bulgaria" 1
"443" "2003" "Bulgaria" 0
"444" "2004" "Bulgaria" 0
"445" "2005" "Bulgaria" 0
"446" "2006" "Bulgaria" 0
"447" "2007" "Bulgaria" 0
"448" "2008" "Bulgaria" 2
"449" "2009" "Bulgaria" 0
"450" "2010" "Bulgaria" 0
"451" "1992" "Burundi" 2
"452" "1994" "Burundi" 16
"453" "1995" "Burundi" 83
"454" "1996" "Burundi" 35
"455" "1997" "Burundi" 79
"456" "1998" "Burundi" 13
"457" "1999" "Burundi" 13
"458" "2000" "Burundi" 17
"459" "2001" "Burundi" 37
"460" "2002" "Burundi" 18
"461" "2003" "Burundi" 18
"462" "2004" "Burundi" 1
"463" "2005" "Burundi" 5
"464" "2006" "Burundi" 5
"465" "2007" "Burundi" 3
"466" "2008" "Burundi" 7
"467" "2009" "Burundi" 0
